date,category,amount_jpy,approved_by,note
2026-07-07,AI稼働,0,HARU,サンプル行（利用枠内のため0円計上。従量課金に移行したら実額を記録）
2026-07-09,AI稼働,0,HARU,テスト稼働: 朝会(kotone/sho)・昼会・終業・週次の通しテスト。利用枠内0円
2026-07-10,AI稼働,0,HARU,朝会(P1執筆・X投稿・note記事)＋note_bot開発＋終業。利用枠内0円
2026-07-13,AI稼働,0,HARU,朝会＋昼会＋終業(3セッション)＋x-bot＋note-bot。利用枠内0円
2026-07-14,AI稼働,0,HARU,朝会＋終業(2セッション)＋x-bot。利用枠内0円
2026-07-15,AI稼働,0,HARU,朝会＋昼会＋終業(3セッション)＋x-bot＋note-bot。利用枠内0円
2026-07-16,AI稼働,0,HARU,朝会＋昼会＋終業(3セッション)＋x-bot。利用枠内0円
2026-07-17,AI稼働,0,HARU,朝会＋昼会＋終業(3セッション)＋x-bot(2)＋note-bot＋週次レビュー。利用枠内0円
2026-07-22,AI稼働,0,HARU,朝会＋昼会＋終業(3セッション)＋x-bot(2)＋note-bot。利用枠内0円
2026-07-23,AI稼働,0,HARU,昼会＋終業(2セッション)＋x-bot(3)。利用枠内0円
2026-07-27,AI稼働,0,HARU,朝会＋昼会＋終業(3セッション)＋x-bot(3)＋note-bot。利用枠内0円
2026-07-28,AI稼働,0,HARU,昼会＋終業(2セッション)＋x-bot(2)。利用枠内0円
2026-07-29,AI稼働,0,HARU,朝会＋昼会＋終業(3セッション)＋x-bot(2)＋note-bot。利用枠内0円
2026-07-30,AI稼働,0,HARU,朝会＋昼会＋終業(3セッション)＋x-bot(2)。利用枠内0円
